date,description,amount,type,category
2026-01-02,Salary,2500,income,Salary
2026-01-03,Carrefour,-82.50,expense,Food
2026-01-04,Uber,-18.40,expense,Transport
2026-01-05,Rent,-750,expense,Housing
2026-01-06,Spotify,-11.99,expense,Subscriptions
2026-01-08,Restaurant,-32.50,expense,Food
2026-01-10,Electricity,-64.80,expense,Bills
2026-01-11,Amazon,-45.90,expense,Shopping
2026-01-13,Pharmacy,-18.75,expense,Healthcare
2026-01-15,Metro Card,-32.00,expense,Transport
2026-01-17,Carrefour,-67.30,expense,Food
2026-01-19,Cinema,-24.00,expense,Entertainment
2026-01-21,Internet,-29.99,expense,Bills
2026-01-23,Restaurant,-41.20,expense,Food
2026-01-25,Clothing Store,-79.90,expense,Shopping
2026-01-27,Carrefour,-54.60,expense,Food
2026-01-28,Freelance Payment,350,income,Other Income
2026-01-30,Netflix,-13.99,expense,Subscriptions
2026-02-02,Salary,2500,income,Salary
2026-02-03,Carrefour,-91.40,expense,Food
2026-02-05,Rent,-750,expense,Housing
2026-02-06,Uber,-22.50,expense,Transport
2026-02-08,Restaurant,-38.90,expense,Food
2026-02-10,Electricity,-58.40,expense,Bills
2026-02-12,Amazon,-64.99,expense,Shopping
2026-02-14,Pharmacy,-27.30,expense,Healthcare
2026-02-15,Metro Card,-32.00,expense,Transport
2026-02-17,Carrefour,-73.80,expense,Food
2026-02-19,Concert,-55.00,expense,Entertainment
2026-02-21,Internet,-29.99,expense,Bills
2026-02-22,Restaurant,-46.50,expense,Food
2026-02-24,Clothing Store,-52.00,expense,Shopping
2026-02-26,Carrefour,-61.25,expense,Food
2026-02-27,Train Ticket,-42.00,expense,Travel
2026-02-28,Netflix,-13.99,expense,Subscriptions
2026-03-02,Salary,2500,income,Salary
2026-03-03,Carrefour,-76.20,expense,Food
2026-03-05,Rent,-750,expense,Housing
2026-03-06,Uber,-15.80,expense,Transport
2026-03-08,Restaurant,-29.90,expense,Food
2026-03-10,Electricity,-71.20,expense,Bills
2026-03-11,Amazon,-38.50,expense,Shopping
2026-03-13,Pharmacy,-12.90,expense,Healthcare
2026-03-15,Metro Card,-32.00,expense,Transport
2026-03-17,Carrefour,-88.40,expense,Food
2026-03-18,Football Match,-35.00,expense,Entertainment
2026-03-20,Internet,-29.99,expense,Bills
2026-03-22,Restaurant,-52.70,expense,Food
2026-03-24,Shoes,-89.90,expense,Shopping
2026-03-26,Carrefour,-63.10,expense,Food
2026-03-28,Freelance Payment,500,income,Other Income
2026-03-30,Spotify,-11.99,expense,Subscriptions
2026-04-02,Salary,2500,income,Salary
2026-04-03,Carrefour,-94.70,expense,Food
2026-04-05,Rent,-750,expense,Housing
2026-04-06,Uber,-19.60,expense,Transport
2026-04-08,Restaurant,-44.80,expense,Food
2026-04-10,Electricity,-63.50,expense,Bills
2026-04-12,Amazon,-72.40,expense,Shopping
2026-04-13,Pharmacy,-21.60,expense,Healthcare
2026-04-15,Metro Card,-32.00,expense,Transport
2026-04-17,Carrefour,-81.90,expense,Food
2026-04-19,Bowling,-28.00,expense,Entertainment
2026-04-21,Internet,-29.99,expense,Bills
2026-04-23,Restaurant,-36.50,expense,Food
2026-04-25,Clothing Store,-65.00,expense,Shopping
2026-04-27,Carrefour,-70.30,expense,Food
2026-04-28,Weekend Hotel,-145.00,expense,Travel
2026-04-30,Netflix,-13.99,expense,Subscriptions
2026-05-02,Salary,2500,income,Salary
2026-05-03,Carrefour,-85.60,expense,Food
2026-05-05,Rent,-750,expense,Housing
2026-05-06,Uber,-24.20,expense,Transport
2026-05-08,Restaurant,-49.30,expense,Food
2026-05-10,Electricity,-56.70,expense,Bills
2026-05-11,Amazon,-58.90,expense,Shopping
2026-05-13,Pharmacy,-16.40,expense,Healthcare
2026-05-15,Metro Card,-32.00,expense,Transport
2026-05-17,Carrefour,-69.80,expense,Food
2026-05-19,Cinema,-27.00,expense,Entertainment
2026-05-21,Internet,-29.99,expense,Bills
2026-05-22,Restaurant,-39.80,expense,Food
2026-05-24,Electronics Store,-119.00,expense,Shopping
2026-05-26,Carrefour,-77.40,expense,Food
2026-05-28,Freelance Payment,450,income,Other Income
2026-05-30,Spotify,-11.99,expense,Subscriptions
2026-06-02,Salary,2500,income,Salary
2026-06-03,Carrefour,-98.20,expense,Food
2026-06-05,Rent,-750,expense,Housing
2026-06-06,Uber,-21.70,expense,Transport
2026-06-08,Restaurant,-57.60,expense,Food
2026-06-10,Electricity,-68.30,expense,Bills
2026-06-12,Amazon,-83.50,expense,Shopping
2026-06-13,Pharmacy,-24.80,expense,Healthcare
2026-06-15,Metro Card,-32.00,expense,Transport
2026-06-17,Carrefour,-72.60,expense,Food
2026-06-19,Music Festival,-75.00,expense,Entertainment
2026-06-21,Internet,-29.99,expense,Bills
2026-06-23,Restaurant,-43.90,expense,Food
2026-06-25,Clothing Store,-94.00,expense,Shopping
2026-06-27,Carrefour,-86.70,expense,Food
2026-06-28,Train Ticket,-58.00,expense,Travel
2026-06-30,Netflix,-13.99,expense,Subscriptions
